AFFGEOID,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
Id,Id2,Geography,Estimate; Total,Margin of Error; Total
1400000US04013103605,4013103605,"Census Tract 1036.05, Maricopa County, Arizona",5828,370
1400000US04013103606,4013103606,"Census Tract 1036.06, Maricopa County, Arizona",4381,418
1400000US04013103607,4013103607,"Census Tract 1036.07, Maricopa County, Arizona",4919,504
1400000US04013103608,4013103608,"Census Tract 1036.08, Maricopa County, Arizona",3700,389
1400000US04013103609,4013103609,"Census Tract 1036.09, Maricopa County, Arizona",5141,471
1400000US04013103611,4013103611,"Census Tract 1036.11, Maricopa County, Arizona",5023,518
1400000US04013103612,4013103612,"Census Tract 1036.12, Maricopa County, Arizona",5218,458
1400000US04013103614,4013103614,"Census Tract 1036.14, Maricopa County, Arizona",3243,368
1400000US04013103615,4013103615,"Census Tract 1036.15, Maricopa County, Arizona",4778,543
1400000US04013103701,4013103701,"Census Tract 1037.01, Maricopa County, Arizona",4224,523
1400000US04013103702,4013103702,"Census Tract 1037.02, Maricopa County, Arizona",3255,462
1400000US04013103900,4013103900,"Census Tract 1039, Maricopa County, Arizona",6401,638
1400000US04013104000,4013104000,"Census Tract 1040, Maricopa County, Arizona",6845,653
1400000US04013104100,4013104100,"Census Tract 1041, Maricopa County, Arizona",6374,667
1400000US04013104202,4013104202,"Census Tract 1042.02, Maricopa County, Arizona",5306,431
