AFFGEOID,GEOID,GEO.display-label,pop,margin
1400000US04013082002,4.0E+09,"Census Tract 820.02, Maricopa County, Arizona",5672,659
1400000US04013082007,4.0E+09,"Census Tract 820.07, Maricopa County, Arizona",3798,562
1400000US04013082008,4.0E+09,"Census Tract 820.08, Maricopa County, Arizona",5712,526
1400000US04013082009,4.0E+09,"Census Tract 820.09, Maricopa County, Arizona",5576,665
1400000US04013082010,4.0E+09,"Census Tract 820.10, Maricopa County, Arizona",3840,622
1400000US04013082012,4.0E+09,"Census Tract 820.12, Maricopa County, Arizona",6083,587
1400000US04013082016,4.0E+09,"Census Tract 820.16, Maricopa County, Arizona",2715,465
1400000US04013082017,4.0E+09,"Census Tract 820.17, Maricopa County, Arizona",5093,937
1400000US04013082018,4.0E+09,"Census Tract 820.18, Maricopa County, Arizona",5110,614
1400000US04013082019,4.0E+09,"Census Tract 820.19, Maricopa County, Arizona",2292,213
1400000US04013082020,4.0E+09,"Census Tract 820.20, Maricopa County, Arizona",3863,439
1400000US04013082021,4.0E+09,"Census Tract 820.21, Maricopa County, Arizona",1817,203
1400000US04013082022,4.0E+09,"Census Tract 820.22, Maricopa County, Arizona",3940,395
1400000US04013082023,4.0E+09,"Census Tract 820.23, Maricopa County, Arizona",5188,477
1400000US04013082024,4.0E+09,"Census Tract 820.24, Maricopa County, Arizona",4649,517
1400000US04013082025,4.0E+09,"Census Tract 820.25, Maricopa County, Arizona",2305,366
1400000US04013082026,4.0E+09,"Census Tract 820.26, Maricopa County, Arizona",5706,564
1400000US04013082027,4.0E+09,"Census Tract 820.27, Maricopa County, Arizona",4101,353
1400000US04013082028,4.0E+09,"Census Tract 820.28, Maricopa County, Arizona",4010,597
1400000US04013082203,4.0E+09,"Census Tract 822.03, Maricopa County, Arizona",8484,806
1400000US04013082204,4.0E+09,"Census Tract 822.04, Maricopa County, Arizona",6421,426
1400000US04013082205,4.0E+09,"Census Tract 822.05, Maricopa County, Arizona",5096,611
1400000US04013082206,4.0E+09,"Census Tract 822.06, Maricopa County, Arizona",3260,506
1400000US04013082207,4.0E+09,"Census Tract 822.07, Maricopa County, Arizona",2815,405
1400000US04013082208,4.0E+09,"Census Tract 822.08, Maricopa County, Arizona",3808,536
1400000US04013082209,4.0E+09,"Census Tract 822.09, Maricopa County, Arizona",3000,338
1400000US04013082210,4.0E+09,"Census Tract 822.10, Maricopa County, Arizona",4598,578
1400000US04013082211,4.0E+09,"Census Tract 822.11, Maricopa County, Arizona",4920,661
1400000US04013083000,4.0E+09,"Census Tract 830, Maricopa County, Arizona",6707,22
1400000US04013092305,4.0E+09,"Census Tract 923.05, Maricopa County, Arizona",4283,546
1400000US04013092306,4.0E+09,"Census Tract 923.06, Maricopa County, Arizona",6462,571
1400000US04013092307,4.0E+09,"Census Tract 923.07, Maricopa County, Arizona",6241,654
1400000US04013092308,4.0E+09,"Census Tract 923.08, Maricopa County, Arizona",6704,803
1400000US04013092309,4.0E+09,"Census Tract 923.09, Maricopa County, Arizona",5334,555
1400000US04013092311,4.0E+09,"Census Tract 923.11, Maricopa County, Arizona",2135,485
1400000US04013092312,4.0E+09,"Census Tract 923.12, Maricopa County, Arizona",5452,454
1400000US04013092401,4.0E+09,"Census Tract 924.01, Maricopa County, Arizona",4137,628
1400000US04013092402,4.0E+09,"Census Tract 924.02, Maricopa County, Arizona",3136,422
1400000US04013092500,4.0E+09,"Census Tract 925, Maricopa County, Arizona",4958,609
1400000US04013092600,4.0E+09,"Census Tract 926, Maricopa County, Arizona",3639,523
1400000US04013092705,4.0E+09,"Census Tract 927.05, Maricopa County, Arizona",3557,395
1400000US04013092708,4.0E+09,"Census Tract 927.08, Maricopa County, Arizona",1948,296
1400000US04013092709,4.0E+09,"Census Tract 927.09, Maricopa County, Arizona",4615,441
1400000US04013092710,4.0E+09,"Census Tract 927.10, Maricopa County, Arizona",4239,467
1400000US04013092711,4.0E+09,"Census Tract 927.11, Maricopa County, Arizona",3545,350
1400000US04013092712,4.0E+09,"Census Tract 927.12, Maricopa County, Arizona",4454,384
1400000US04013092713,4.0E+09,"Census Tract 927.13, Maricopa County, Arizona",4508,480
1400000US04013092715,4.0E+09,"Census Tract 927.15, Maricopa County, Arizona",4662,704
1400000US04013092716,4.0E+09,"Census Tract 927.16, Maricopa County, Arizona",4100,513
1400000US04013092717,4.0E+09,"Census Tract 927.17, Maricopa County, Arizona",4799,543
1400000US04013092718,4.0E+09,"Census Tract 927.18, Maricopa County, Arizona",4100,568
1400000US04013092719,4.0E+09,"Census Tract 927.19, Maricopa County, Arizona",4008,553
1400000US04013092720,4.0E+09,"Census Tract 927.20, Maricopa County, Arizona",4790,723
1400000US04013092721,4.0E+09,"Census Tract 927.21, Maricopa County, Arizona",2999,238
1400000US04013092723,4.0E+09,"Census Tract 927.23, Maricopa County, Arizona",3777,424
1400000US04013092724,4.0E+09,"Census Tract 927.24, Maricopa County, Arizona",3506,355
1400000US04013092801,4.0E+09,"Census Tract 928.01, Maricopa County, Arizona",5256,819
1400000US04013092802,4.0E+09,"Census Tract 928.02, Maricopa County, Arizona",5558,636
1400000US04013092900,4.0E+09,"Census Tract 929, Maricopa County, Arizona",2841,448
1400000US04013093001,4.0E+09,"Census Tract 930.01, Maricopa County, Arizona",5289,717
1400000US04013093002,4.0E+09,"Census Tract 930.02, Maricopa County, Arizona",4330,506
1400000US04013093101,4.0E+09,"Census Tract 931.01, Maricopa County, Arizona",4737,604
1400000US04013093104,4.0E+09,"Census Tract 931.04, Maricopa County, Arizona",4447,389
1400000US04013093105,4.0E+09,"Census Tract 931.05, Maricopa County, Arizona",5668,689
1400000US04013093106,4.0E+09,"Census Tract 931.06, Maricopa County, Arizona",4250,490
1400000US04013093200,4.0E+09,"Census Tract 932, Maricopa County, Arizona",2970,413
1400000US04013103205,4.0E+09,"Census Tract 1032.05, Maricopa County, Arizona",2872,167
1400000US04013103206,4.0E+09,"Census Tract 1032.06, Maricopa County, Arizona",2446,259
1400000US04013103207,4.0E+09,"Census Tract 1032.07, Maricopa County, Arizona",2557,178
